path,project_name,github_url
data/awesome/newton-dynamics,newton-dynamics,https://github.com/MADEAPPS/newton-dynamics
data/awesome/nghttp2,nghttp2,https://github.com/nghttp2/nghttp2
data/awesome/nghttp3,nghttp3,https://github.com/ngtcp2/nghttp3
data/awesome/ni-media,ni-media,https://github.com/NativeInstruments/ni-media
data/awesome/nng,nng,https://github.com/nanomsg/nng
data/awesome/Nuklear,Nuklear,https://github.com/Immediate-Mode-UI/Nuklear
data/awesome/NumCpp,NumCpp,https://github.com/dpilger26/NumCpp
data/awesome/o3de,o3de,https://github.com/o3de/o3de
data/awesome/oclint,oclint,https://github.com/oclint/oclint
data/awesome/ofxBox2d,ofxBox2d,https://github.com/vanderlin/ofxBox2d
data/awesome/ogre,ogre,https://github.com/OGRECave
data/awesome/oiio,oiio,https://github.com/OpenImageIO/oiio
data/awesome/oneDAL,oneDAL,https://github.com/oneapi-src/oneDAL
data/awesome/oneDNN,oneDNN,https://github.com/oneapi-src/oneDNN
data/awesome/oniguruma,oniguruma,https://github.com/kkos/oniguruma
data/awesome/onion,onion,https://github.com/davidmoreno/onion
data/awesome/onnxruntime,onnxruntime,https://github.com/microsoft/onnxruntime
data/awesome/OpenBLAS,OpenBLAS,https://github.com/xianyi/OpenBLAS
